title,id,stage,creation,creator,activity,actor,nosy,type,components,versions,dependencies,assignee,keywords,priority,status,resolution,nosy_count,message_count
mmap module add OpenBSD MADV_CONCEAL flag,37511,None,2019-07-05.20:51:43,27678,2019-07-05.20:51:43,27678,['27678'],None,[],['23'],[],None,[],4,1,None,1.0,None
FAQ says positional arguments aren't a thing,37456,4,2019-07-01.00:09:37,20755,2019-07-06.22:25:50,155,"['155', '12260', '20755', '26865']",5,['4'],"['22', '23']",[],155,['2'],4,1,None,4.0,6.0
Python-2.7.16 fails to build with --enable-shared,37518,None,2019-07-07.02:43:59,31728,2019-07-07.02:43:59,31728,['31728'],5,['1'],['14'],[],None,[],4,1,None,1.0,1.0
buid error - test_asyncio fails during make,37516,None,2019-07-06.20:54:24,31726,2019-07-07.05:13:25,28746,"['10303', '16198', '31726']",2,"['7', '30']",['22'],[],None,[],4,1,None,3.0,3.0
PyArena type is used in headers from the limited API,21120,4,2014-04-01.08:10:21,19336,2019-07-07.09:31:19,26650,"['8', '415', '19336', '26650']",2,['1'],['23'],[],None,['2'],4,1,None,4.0,2.0
ambiguous _max_size parameter in SpooledTemporaryFile,34446,None,2018-08-20.19:47:35,29279,2019-07-07.15:58:26,16391,"['37', '12260', '16391', '29279']",5,"['4', '9']","['14', '19', '20', '21', '22', '23']",[],12260,[],4,1,None,4.0,4.0
argparse help formatter crashes,26952,None,2016-05-04.15:14:47,23873,2019-07-07.17:02:38,14858,"['2074', '14674', '14858', '21530', '23873', '30580']",5,['9'],['14'],[],None,[],4,1,None,6.0,10.0
"argparse removing more ""--"" than it should",37510,None,2019-07-05.20:45:30,31717,2019-07-07.19:16:53,14858,"['2799', '14858', '31717']",5,['9'],['21'],[],None,[],4,1,None,3.0,9.0
test__xxsubinterpreters failed on AMD64 Windows8.1 Refleaks 3.8,37224,None,2019-06-11.00:58:01,2377,2019-07-08.07:46:36,2377,"['2377', '14000']",None,['12'],['22'],[],None,[],4,1,None,2.0,5.0
multiprocessing: Add a stop() method to ForkServer,37507,None,2019-07-05.14:22:18,2377,2019-07-08.08:29:59,2377,"['2040', '2377', '20485', '26865']",None,['9'],['23'],[],None,[],4,1,None,4.0,5.0
mmap module: add MAP_ALIGNED_SUPER FreeBSD and MAP_CONCEAL OpenBSD constants,37471,None,2019-07-01.14:22:37,27725,2019-07-08.13:58:54,27725,"['2377', '16276', '27725']",6,"['5', '32']",['23'],[],None,[],4,1,None,3.0,3.0
"Submit the re, json, & csv modules to oss-fuzz testing",29505,4,2017-02-08.20:54:21,252,2019-07-08.14:11:58,20283,"['37', '155', '252', '3108', '4470', '9612', '9663', '20283', '27838']",4,[],"['14', '20', '21']",[],252,['2'],4,1,None,9.0,27.0
CField.size from the ctypes module does not behave as documented on bitfields,37187,4,2019-06-07.03:46:36,31096,2019-07-08.17:32:40,31412,"['1076', '1427', '11255', '12260', '31096', '31169', '31412']",5,"['4', '22']",[],[],12260,['2'],4,1,None,7.0,2.0
